X,Y,Z,formation
567254.9932036458,5243824.831336681,306.8889470816912,RDF
567308.929920872,5243720.0855028590,521.1017799038655,RDF
567333.4466105202,5243672.473760213,660.3401212382792,RDF
567402.0933415354,5243539.160880804,746.0252543671486,RDF
567514.8701139175,5243320.146864632,531.8124215449743,RDF
567588.4201828623,5243177.311636694,510.3911382627566,RDF
567725.7136448927,5242910.685877876,638.9188379560615,RDF
568255.2741412956,5241882.272236721,339.02087200501774,RDF
568260.1774792252,5241872.749888191,617.4975546738451,RDF
568294.5008447327,5241806.093448487,863.842312419346,RDF
568323.9208723108,5241748.959357312,928.1061622659981,RDF
568382.7609274666,5241634.691174961,906.6848789837809,RDF
568446.5043205521,5241510.900644082,788.8678209315849,RDF
568745.6079342611,5240930.037383799,617.4975546738451,RDF
568828.9646790653,5240768.157458803,660.3401212382801,RDF
568967.1732732663,5240698.640722405,692.4720461616062,RDF
569007.41611155,5240683.94380175100,703.182687802715,RDF
568716.1879066832,5240987.171474975,960.2380871893247,RDF
568745.6079342611,5240930.037383799,1217.293486575934,RDF
568967.1732732663,5240698.640722405,1313.6892613459127,RDF
569530.5730092376,5240492.883833253,1099.476428523738,RDF
570184.5191313473,5240254.058872630,1045.9232203181941,RDF
570949.133058737,5239974.8173802085,1003.0806537537596,RDF
571316.0274133242,5239618.082407315,820.999745854911,RDF
571507.5357090024,5239175.783631006,563.9443464683013,RDF
571639.4636460252,5238871.088918438,392.57408021056153,RDF
571873.5293407429,5238330.501525172,242.6250972350399,RDF
573021.8471027431,5234000,-6320.98360655737,RDF
571417.4484661581,5234000,-6359.34426229501,RDF
568857.7271778701,5234000,-6448.85245901693,RDF
565904.9875947783,5234000,-6397.70491803786,RDF
563462.4643494795,5234000,-6257.04918037868,RDF
561565.5714517588,5234000,-6269.83606557377,RDF
559566.9858789159,5234000,-6269.83606557377,RDF
558217.6223711364,5234000,-6269.83606557377,RDF
556817.9238064323,5234000,-6218.68852490164,RDF
568552.631578947,5239100.6387029,1300,RDF
566421.052631579,5237676.7303322,1300,RDF
562205.263157898,5235881.1705459,1300,RDF
560121.052631579,5235031.1060615,1300,RDF
572815.789473643,5240800.2640791,1300,RDF
563863.3409257863,5274952.858291170,-149.94341285837072,UFM
564999.0512582712,5272426.160062199,-208.141020240565,UFM
566316.0934925814,5269496.039426922,-126.664369905493,UFM
567031.8773155761,5267903.582559924,71.20749519396668,UFM
567628.3638347383,5266576.535170759,408.7536180106936,UFM
567766.7487071839,5266268.660176473,490.2302683457656,UFM
564233,5273663,-177.97,UFM
564427,5273663,-170.45,UFM
563872.8847100929,5274931.625532943,-545.687143057291,UMM
564435.9679841821,5273678.892797571,-557.3266645337299,UMM
565323.5399246954,5271704.246282493,-568.9661860101687,UMM
566316.0934925814,5269496.039426922,-557.3266645337299,UMM
566888.720550977,5268222.0739333204,-487.4895356750967,UMM
567485.2070701394,5266895.026544158,-231.42006319344273,UMM
567971.9400697757,5265812.155874600,164.32366700547755,UMM
568220.0784617472,5265260.104160705,362.19553210493814,UMM
568253.4817068203,5265185.789506913,443.67218244001015,UMM
573006.9709916797,5267675.96132224,1300,UMM
570484.8212277939,5266245.783674387,1300,UMM
565655.7979161981,5263876.02128776,1300,UMM
561427.6291132598,5262053.819054044,1300,UMM
557970.0172400869,5260399.89506034,1300,UMM
568182.1452664717,5264925.792669215,1300,UMM
564258,5273663,-546.24,UMM
564421,5273663,-546.24,UMM
570875.6364450573,5259352.089184144,565.8871579425772,Up_LFM
571419.6321505334,5258141.821965224,-691.1811615128172,Up_LFM
572178.3630029077,5256453.817686207,-1715.459051439435,Up_LFM
572898.9187180556,5254850.744440095,-2274.156082308499,Up_LFM
573528.808482291,5253449.3823971370,-2565.1441192194698,Up_LFM
574344.8020405049,5251633.981568758,-2681.5393339838583,Up_LFM
569923.6439604745,5261470.056817251,-737.7392474185754,Up_LFM
570267.2201955119,5260705.677521092,-1284.7967568112008,Up_LFM
570691.9185971555,5259760.819780006,-1750.3776158687551,Up_LFM
571135.7045674121,5258773.496522468,-2099.56326016192,Up_LFM
571388.6148515369,5258210.828429461,-2285.7956037849417,Up_LFM
571751.2786551876,5257403.983616845,-2367.2722541200137,Up_LFM
